id,wind,wind_category,path
EP061978,105,H3,hursat_hurdat/1978190N11254.FICO.1978.07.15.1800.62.GOE-2.094.hursat-b1.v06.h5
EP061978,115,H4,hursat_hurdat/1978190N11254.FICO.1978.07.16.1800.69.GOE-2.101.hursat-b1.v06.h5
EP061978,80,H1,hursat_hurdat/1978190N11254.FICO.1978.07.17.1800.75.GOE-2.072.hursat-b1.v06.h5
EP071978,35,TS,hursat_hurdat/1978194N11261.GILMA.1978.07.13.1800.33.GOE-2.031.hursat-b1.v06.h5
EP071978,50,TS,hursat_hurdat/1978194N11261.GILMA.1978.07.14.1800.38.GOE-2.043.hursat-b1.v06.h5
EP071978,65,H1,hursat_hurdat/1978194N11261.GILMA.1978.07.15.1800.43.GOE-2.056.hursat-b1.v06.h5
EP071978,90,H2,hursat_hurdat/1978194N11261.GILMA.1978.07.16.1800.47.GOE-2.078.hursat-b1.v06.h5
EP071978,90,H2,hursat_hurdat/1978194N11261.GILMA.1978.07.17.1800.51.GOE-2.079.hursat-b1.v06.h5
EP071978,65,H1,hursat_hurdat/1978194N11261.GILMA.1978.07.18.1800.56.GOE-2.059.hursat-b1.v06.h5
EP071978,25,TD,hursat_hurdat/1978194N11261.GILMA.1978.07.19.1800.62.GOE-2.026.hursat-b1.v06.h5
EP081978,50,TS,hursat_hurdat/1978203N13260.HECTOR.1978.07.22.1800.35.GOE-2.042.hursat-b1.v06.h5
EP081978,70,H1,hursat_hurdat/1978203N13260.HECTOR.1978.07.23.1800.38.GOE-2.061.hursat-b1.v06.h5
EP081978,80,H1,hursat_hurdat/1978203N13260.HECTOR.1978.07.24.1800.42.GOE-2.069.hursat-b1.v06.h5
EP081978,90,H2,hursat_hurdat/1978203N13260.HECTOR.1978.07.26.1800.52.GOE-2.080.hursat-b1.v06.h5
EP081978,60,TS,hursat_hurdat/1978203N13260.HECTOR.1978.07.27.1800.56.GOE-2.055.hursat-b1.v06.h5
EP081978,45,TS,hursat_hurdat/1978203N13260.HECTOR.1978.07.28.1800.61.GOE-2.040.hursat-b1.v06.h5
AL041978,30,TD,hursat_hurdat/1978212N26263.AMELIA.1978.07.30.1800.39.GOE-2.026.hursat-b1.v06.h5
AL041978,30,TD,hursat_hurdat/1978212N26263.AMELIA.1978.07.31.1800.42.GOE-2.026.hursat-b1.v06.h5
AL051978,20,TD,hursat_hurdat/1978218N25270.BESS.1978.08.05.1200.34.GOE-2.018.hursat-b1.v06.h5
AL051978,20,TD,hursat_hurdat/1978218N25270.BESS.1978.08.05.1800.34.GOE-2.018.hursat-b1.v06.h5
AL051978,30,TD,hursat_hurdat/1978218N25270.BESS.1978.08.06.1200.35.GOE-2.026.hursat-b1.v06.h5
AL051978,35,TS,hursat_hurdat/1978218N25270.BESS.1978.08.06.1800.35.GOE-2.031.hursat-b1.v06.h5
AL051978,40,TS,hursat_hurdat/1978218N25270.BESS.1978.08.07.1200.35.GOE-2.035.hursat-b1.v06.h5
AL051978,45,TS,hursat_hurdat/1978218N25270.BESS.1978.08.07.1800.35.GOE-2.040.hursat-b1.v06.h5
AL051978,25,TD,hursat_hurdat/1978218N25270.BESS.1978.08.08.1200.34.GOE-2.022.hursat-b1.v06.h5
AL061978,25,TD,hursat_hurdat/1978220N13325.CORA.1978.08.07.1200.49.GOE-2.022.hursat-b1.v06.h5
AL061978,25,TD,hursat_hurdat/1978220N13325.CORA.1978.08.07.1800.48.GOE-2.022.hursat-b1.v06.h5
AL061978,50,TS,hursat_hurdat/1978220N13325.CORA.1978.08.08.1200.42.GOE-2.044.hursat-b1.v06.h5
AL061978,65,H1,hursat_hurdat/1978220N13325.CORA.1978.08.08.1800.41.GOE-2.057.hursat-b1.v06.h5
AL061978,70,H1,hursat_hurdat/1978220N13325.CORA.1978.08.09.1200.35.GOE-2.062.hursat-b1.v06.h5
AL061978,65,H1,hursat_hurdat/1978220N13325.CORA.1978.08.09.1800.33.GOE-2.057.hursat-b1.v06.h5
AL061978,55,TS,hursat_hurdat/1978220N13325.CORA.1978.08.10.1200.26.GOE-2.048.hursat-b1.v06.h5
AL061978,50,TS,hursat_hurdat/1978220N13325.CORA.1978.08.10.1800.24.GOE-2.044.hursat-b1.v06.h5
AL061978,30,TD,hursat_hurdat/1978220N13325.CORA.1978.08.11.1200.19.GOE-2.026.hursat-b1.v06.h5
AL061978,30,TD,hursat_hurdat/1978220N13325.CORA.1978.08.11.1800.17.GOE-2.026.hursat-b1.v06.h5
EP091978,45,TS,hursat_hurdat/1978223N18252.IVA.1978.08.11.1200.44.GOE-2.040.hursat-b1.v06.h5
EP091978,55,TS,hursat_hurdat/1978223N18252.IVA.1978.08.11.1800.45.GOE-2.047.hursat-b1.v06.h5
EP091978,55,TS,hursat_hurdat/1978223N18252.IVA.1978.08.12.1200.48.GOE-2.048.hursat-b1.v06.h5
EP091978,55,TS,hursat_hurdat/1978223N18252.IVA.1978.08.12.1800.49.GOE-2.048.hursat-b1.v06.h5
EP091978,65,H1,hursat_hurdat/1978223N18252.IVA.1978.08.13.1200.52.GOE-2.057.hursat-b1.v06.h5
EP091978,65,H1,hursat_hurdat/1978223N18252.IVA.1978.08.13.1800.53.GOE-2.057.hursat-b1.v06.h5
EP091978,45,TS,hursat_hurdat/1978223N18252.IVA.1978.08.14.1200.55.GOE-2.040.hursat-b1.v06.h5
EP091978,35,TS,hursat_hurdat/1978223N18252.IVA.1978.08.14.1800.55.GOE-2.033.hursat-b1.v06.h5
EP101978,30,TD,hursat_hurdat/1978230N12239.JOHN.1978.08.18.1800.57.GOE-2.026.hursat-b1.v06.h5
EP101978,35,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.19.1200.58.GOE-2.031.hursat-b1.v06.h5
EP101978,40,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.19.1800.59.GOE-2.034.hursat-b1.v06.h5
EP101978,60,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.20.1200.61.GOE-2.053.hursat-b1.v06.h5
EP101978,50,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.21.1200.64.GOE-2.044.hursat-b1.v06.h5
EP101978,50,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.21.1800.66.GOE-2.044.hursat-b1.v06.h5
EP101978,70,H1,hursat_hurdat/1978230N12239.JOHN.1978.08.22.1200.69.GOE-2.062.hursat-b1.v06.h5
EP101978,65,H1,hursat_hurdat/1978230N12239.JOHN.1978.08.22.1800.71.GOE-2.058.hursat-b1.v06.h5
EP101978,55,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.23.1200.74.GOE-2.048.hursat-b1.v06.h5
EP101978,60,TS,hursat_hurdat/1978230N12239.JOHN.1978.08.23.1800.75.GOE-2.052.hursat-b1.v06.h5
EP101978,75,H1,hursat_hurdat/1978230N12239.JOHN.1978.08.24.1200.79.GOE-2.066.hursat-b1.v06.h5
EP121978,30,TD,hursat_hurdat/1978231N13224.LANE.1978.08.19.1200.72.GOE-2.026.hursat-b1.v06.h5
EP121978,35,TS,hursat_hurdat/1978231N13224.LANE.1978.08.19.1800.73.GOE-2.030.hursat-b1.v06.h5
EP121978,45,TS,hursat_hurdat/1978231N13224.LANE.1978.08.20.1200.77.GOE-2.041.hursat-b1.v06.h5
EP111978,30,TD,hursat_hurdat/1978231N14251.KRISTY.1978.08.18.1800.42.GOE-2.026.hursat-b1.v06.h5
EP111978,55,TS,hursat_hurdat/1978231N14251.KRISTY.1978.08.19.1200.45.GOE-2.048.hursat-b1.v06.h5
EP111978,65,H1,hursat_hurdat/1978231N14251.KRISTY.1978.08.19.1800.46.GOE-2.055.hursat-b1.v06.h5
EP111978,80,H1,hursat_hurdat/1978231N14251.KRISTY.1978.08.20.1200.49.GOE-2.070.hursat-b1.v06.h5
EP111978,90,H2,hursat_hurdat/1978231N14251.KRISTY.1978.08.21.1200.53.GOE-2.079.hursat-b1.v06.h5
EP111978,90,H2,hursat_hurdat/1978231N14251.KRISTY.1978.08.21.1800.54.GOE-2.079.hursat-b1.v06.h5
EP111978,90,H2,hursat_hurdat/1978231N14251.KRISTY.1978.08.22.1200.57.GOE-2.079.hursat-b1.v06.h5
EP111978,75,H1,hursat_hurdat/1978231N14251.KRISTY.1978.08.22.1800.58.GOE-2.069.hursat-b1.v06.h5
EP111978,65,H1,hursat_hurdat/1978231N14251.KRISTY.1978.08.23.1200.61.GOE-2.057.hursat-b1.v06.h5
EP111978,65,H1,hursat_hurdat/1978231N14251.KRISTY.1978.08.23.1800.63.GOE-2.057.hursat-b1.v06.h5
EP111978,55,TS,hursat_hurdat/1978231N14251.KRISTY.1978.08.24.1200.67.GOE-2.048.hursat-b1.v06.h5
EP111978,55,TS,hursat_hurdat/1978231N14251.KRISTY.1978.08.24.1800.68.GOE-2.048.hursat-b1.v06.h5
EP111978,65,H1,hursat_hurdat/1978231N14251.KRISTY.1978.08.25.1200.72.GOE-2.057.hursat-b1.v06.h5
EP111978,60,TS,hursat_hurdat/1978231N14251.KRISTY.1978.08.25.1800.73.GOE-2.054.hursat-b1.v06.h5
EP111978,45,TS,hursat_hurdat/1978231N14251.KRISTY.1978.08.26.1200.76.GOE-2.040.hursat-b1.v06.h5
EP111978,40,TS,hursat_hurdat/1978231N14251.KRISTY.1978.08.26.1800.77.GOE-2.036.hursat-b1.v06.h5
EP131978,25,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.23.1800.48.GOE-2.022.hursat-b1.v06.h5
EP131978,30,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.24.1200.51.GOE-2.026.hursat-b1.v06.h5
EP131978,30,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.24.1800.53.GOE-2.026.hursat-b1.v06.h5
EP131978,25,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.25.1200.59.GOE-2.022.hursat-b1.v06.h5
EP131978,25,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.25.1800.61.GOE-2.022.hursat-b1.v06.h5
EP131978,25,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.26.1200.66.GOE-2.022.hursat-b1.v06.h5
EP131978,25,TD,hursat_hurdat/1978236N11245.MIRIAM.1978.08.26.1800.68.GOE-2.022.hursat-b1.v06.h5
EP131978,35,TS,hursat_hurdat/1978236N11245.MIRIAM.1978.08.27.1200.72.GOE-2.031.hursat-b1.v06.h5
EP131978,35,TS,hursat_hurdat/1978236N11245.MIRIAM.1978.08.27.1800.73.GOE-2.031.hursat-b1.v06.h5
EP131978,70,H1,hursat_hurdat/1978236N11245.MIRIAM.1978.08.28.1200.78.GOE-2.057.hursat-b1.v06.h5
EP131978,75,H1,hursat_hurdat/1978236N11245.MIRIAM.1978.08.28.1800.79.GOE-2.060.hursat-b1.v06.h5
AL091978,25,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.26.1200.31.GOE-2.022.hursat-b1.v06.h5
AL091978,25,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.26.1800.33.GOE-2.022.hursat-b1.v06.h5
AL091978,25,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.27.1200.35.GOE-2.022.hursat-b1.v06.h5
AL091978,25,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.27.1800.36.GOE-2.022.hursat-b1.v06.h5
AL091978,30,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.28.1200.39.GOE-2.026.hursat-b1.v06.h5
AL091978,40,TS,hursat_hurdat/1978239N23272.DEBRA.1978.08.28.1800.40.GOE-2.035.hursat-b1.v06.h5
AL091978,30,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.29.1200.42.GOE-2.026.hursat-b1.v06.h5
AL091978,15,TD,hursat_hurdat/1978239N23272.DEBRA.1978.08.29.1800.44.GOE-2.013.hursat-b1.v06.h5
AL101978,30,TD,hursat_hurdat/1978242N26300.ELLA.1978.08.30.1200.35.GOE-2.026.hursat-b1.v06.h5
AL101978,40,TS,hursat_hurdat/1978242N26300.ELLA.1978.08.30.1800.35.GOE-2.035.hursat-b1.v06.h5
AL101978,60,TS,hursat_hurdat/1978242N26300.ELLA.1978.08.31.1200.35.GOE-2.053.hursat-b1.v06.h5
AL101978,70,H1,hursat_hurdat/1978242N26300.ELLA.1978.08.31.1800.35.GOE-2.062.hursat-b1.v06.h5
AL101978,110,H3,hursat_hurdat/1978242N26300.ELLA.1978.09.01.1200.36.GOE-2.097.hursat-b1.v06.h5
AL101978,110,H3,hursat_hurdat/1978242N26300.ELLA.1978.09.01.1800.37.GOE-2.097.hursat-b1.v06.h5
AL101978,80,H1,hursat_hurdat/1978242N26300.ELLA.1978.09.02.1200.37.GOE-2.070.hursat-b1.v06.h5
AL101978,70,H1,hursat_hurdat/1978242N26300.ELLA.1978.09.02.1800.37.GOE-2.062.hursat-b1.v06.h5
AL101978,85,H2,hursat_hurdat/1978242N26300.ELLA.1978.09.03.1200.40.GOE-2.075.hursat-b1.v06.h5
AL101978,95,H2,hursat_hurdat/1978242N26300.ELLA.1978.09.03.1800.41.GOE-2.084.hursat-b1.v06.h5
AL101978,120,H4,hursat_hurdat/1978242N26300.ELLA.1978.09.04.1200.48.GOE-2.106.hursat-b1.v06.h5
AL101978,115,H4,hursat_hurdat/1978242N26300.ELLA.1978.09.04.1800.52.GOE-2.101.hursat-b1.v06.h5
AL101978,65,H1,hursat_hurdat/1978242N26300.ELLA.1978.09.05.1200.64.GOE-2.057.hursat-b1.v06.h5
EP141978,30,TD,hursat_hurdat/1978243N13262.NORMAN.1978.08.30.1800.31.GOE-2.026.hursat-b1.v06.h5
EP141978,35,TS,hursat_hurdat/1978243N13262.NORMAN.1978.08.31.1200.33.GOE-2.031.hursat-b1.v06.h5
EP141978,50,TS,hursat_hurdat/1978243N13262.NORMAN.1978.08.31.1800.34.GOE-2.041.hursat-b1.v06.h5
EP141978,65,H1,hursat_hurdat/1978243N13262.NORMAN.1978.09.01.1200.38.GOE-2.057.hursat-b1.v06.h5
EP141978,75,H1,hursat_hurdat/1978243N13262.NORMAN.1978.09.01.1800.40.GOE-2.064.hursat-b1.v06.h5
EP141978,115,H4,hursat_hurdat/1978243N13262.NORMAN.1978.09.02.1200.45.GOE-2.101.hursat-b1.v06.h5
EP141978,115,H4,hursat_hurdat/1978243N13262.NORMAN.1978.09.02.1800.47.GOE-2.101.hursat-b1.v06.h5
EP141978,115,H4,hursat_hurdat/1978243N13262.NORMAN.1978.09.03.1200.52.GOE-2.101.hursat-b1.v06.h5
EP141978,110,H3,hursat_hurdat/1978243N13262.NORMAN.1978.09.03.1800.53.GOE-2.098.hursat-b1.v06.h5
EP141978,65,H1,hursat_hurdat/1978243N13262.NORMAN.1978.09.04.1200.58.GOE-2.057.hursat-b1.v06.h5
EP141978,50,TS,hursat_hurdat/1978243N13262.NORMAN.1978.09.04.1800.59.GOE-2.047.hursat-b1.v06.h5
EP141978,35,TS,hursat_hurdat/1978243N13262.NORMAN.1978.09.05.1200.60.GOE-2.031.hursat-b1.v06.h5
EP141978,30,TD,hursat_hurdat/1978243N13262.NORMAN.1978.09.05.1800.60.GOE-2.027.hursat-b1.v06.h5
EP141978,20,TD,hursat_hurdat/1978243N13262.NORMAN.1978.09.06.1200.60.GOE-2.018.hursat-b1.v06.h5
EP141978,20,TD,hursat_hurdat/1978243N13262.NORMAN.1978.09.06.1800.61.GOE-2.018.hursat-b1.v06.h5
AL131978,35,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.04.1200.42.GOE-2.031.hursat-b1.v06.h5
AL131978,35,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.04.1800.41.GOE-2.031.hursat-b1.v06.h5
AL131978,35,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.05.1200.38.GOE-2.031.hursat-b1.v06.h5
AL131978,35,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.05.1800.38.GOE-2.031.hursat-b1.v06.h5
AL131978,35,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.06.1200.34.GOE-2.031.hursat-b1.v06.h5
AL131978,40,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.06.1800.33.GOE-2.035.hursat-b1.v06.h5
AL131978,40,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.07.1200.31.GOE-2.035.hursat-b1.v06.h5
AL131978,40,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.07.1800.31.GOE-2.035.hursat-b1.v06.h5
AL131978,35,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.08.1200.33.GOE-2.031.hursat-b1.v06.h5
AL131978,30,TD,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.08.1800.34.GOE-2.026.hursat-b1.v06.h5
AL131978,25,TD,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.09.1200.37.GOE-2.022.hursat-b1.v06.h5
AL131978,25,TD,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.09.1800.38.GOE-2.022.hursat-b1.v06.h5
AL131978,30,TD,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.10.1200.41.GOE-2.026.hursat-b1.v06.h5
AL131978,30,TD,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.10.1800.42.GOE-2.026.hursat-b1.v06.h5
AL131978,55,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.11.1200.47.GOE-2.048.hursat-b1.v06.h5
AL131978,55,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.11.1800.48.GOE-2.048.hursat-b1.v06.h5
AL131978,75,H1,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.12.1200.50.GOE-2.066.hursat-b1.v06.h5
AL131978,80,H1,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.12.1800.51.GOE-2.070.hursat-b1.v06.h5
AL131978,85,H2,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.13.1200.51.GOE-2.075.hursat-b1.v06.h5
AL131978,75,H1,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.13.1800.52.GOE-2.066.hursat-b1.v06.h5
AL131978,75,H1,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.14.1200.56.GOE-2.066.hursat-b1.v06.h5
AL131978,75,H1,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.14.1800.58.GOE-2.066.hursat-b1.v06.h5
AL131978,55,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.15.1200.67.GOE-2.048.hursat-b1.v06.h5
AL131978,50,TS,hursat_hurdat/1978247N12321.FLOSSIE.1978.09.15.1800.71.GOE-2.044.hursat-b1.v06.h5
AL151978,25,TD,hursat_hurdat/1978255N30280.HOPE.1978.09.12.1200.36.GOE-2.022.hursat-b1.v06.h5
AL151978,25,TD,hursat_hurdat/1978255N30280.HOPE.1978.09.12.1800.37.GOE-2.022.hursat-b1.v06.h5
AL151978,25,TD,hursat_hurdat/1978255N30280.HOPE.1978.09.13.1200.37.GOE-2.022.hursat-b1.v06.h5
AL151978,25,TD,hursat_hurdat/1978255N30280.HOPE.1978.09.13.1800.38.GOE-2.022.hursat-b1.v06.h5
AL151978,30,TD,hursat_hurdat/1978255N30280.HOPE.1978.09.14.1200.39.GOE-2.026.hursat-b1.v06.h5
AL151978,30,TD,hursat_hurdat/1978255N30280.HOPE.1978.09.14.1800.40.GOE-2.026.hursat-b1.v06.h5
AL151978,35,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.15.1200.40.GOE-2.031.hursat-b1.v06.h5
AL151978,35,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.15.1800.39.GOE-2.031.hursat-b1.v06.h5
AL151978,35,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.16.1200.41.GOE-2.031.hursat-b1.v06.h5
AL151978,35,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.16.1800.42.GOE-2.031.hursat-b1.v06.h5
AL151978,40,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.17.1200.46.GOE-2.035.hursat-b1.v06.h5
AL151978,45,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.17.1800.48.GOE-2.040.hursat-b1.v06.h5
AL151978,50,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.18.1200.54.GOE-2.044.hursat-b1.v06.h5
AL151978,55,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.18.1800.56.GOE-2.048.hursat-b1.v06.h5
AL151978,55,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.19.1200.63.GOE-2.048.hursat-b1.v06.h5
AL151978,55,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.19.1800.65.GOE-2.048.hursat-b1.v06.h5
AL151978,50,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.20.1200.73.GOE-2.044.hursat-b1.v06.h5
AL151978,50,TS,hursat_hurdat/1978255N30280.HOPE.1978.09.20.1800.75.GOE-2.044.hursat-b1.v06.h5
AL161978,25,TD,hursat_hurdat/1978257N11298.GRETA.1978.09.13.1800.20.GOE-2.022.hursat-b1.v06.h5
AL161978,35,TS,hursat_hurdat/1978257N11298.GRETA.1978.09.14.1200.17.GOE-2.031.hursat-b1.v06.h5
AL161978,35,TS,hursat_hurdat/1978257N11298.GRETA.1978.09.14.1800.17.GOE-2.031.hursat-b1.v06.h5
AL161978,45,TS,hursat_hurdat/1978257N11298.GRETA.1978.09.15.1200.16.GOE-2.040.hursat-b1.v06.h5
AL161978,50,TS,hursat_hurdat/1978257N11298.GRETA.1978.09.15.1800.16.GOE-2.044.hursat-b1.v06.h5
AL161978,70,H1,hursat_hurdat/1978257N11298.GRETA.1978.09.16.1200.17.GOE-2.062.hursat-b1.v06.h5
AL161978,75,H1,hursat_hurdat/1978257N11298.GRETA.1978.09.16.1800.17.GOE-2.066.hursat-b1.v06.h5
AL161978,90,H2,hursat_hurdat/1978257N11298.GRETA.1978.09.17.1200.19.GOE-2.079.hursat-b1.v06.h5
AL161978,95,H2,hursat_hurdat/1978257N11298.GRETA.1978.09.17.1800.20.GOE-2.084.hursat-b1.v06.h5
AL161978,105,H3,hursat_hurdat/1978257N11298.GRETA.1978.09.18.1200.23.GOE-2.092.hursat-b1.v06.h5
AL161978,100,H3,hursat_hurdat/1978257N11298.GRETA.1978.09.18.1800.24.GOE-2.088.hursat-b1.v06.h5
AL161978,30,TD,hursat_hurdat/1978257N11298.GRETA.1978.09.19.1200.27.GOE-2.026.hursat-b1.v06.h5
AL161978,30,TD,hursat_hurdat/1978257N11298.GRETA.1978.09.19.1800.27.GOE-2.026.hursat-b1.v06.h5
EP151978,35,TS,hursat_hurdat/1978263N16267.OLIVIA.1978.09.20.1200.29.GOE-2.031.hursat-b1.v06.h5
EP151978,55,TS,hursat_hurdat/1978263N16267.OLIVIA.1978.09.20.1800.29.GOE-2.045.hursat-b1.v06.h5
EP151978,55,TS,hursat_hurdat/1978263N16267.OLIVIA.1978.09.21.1200.29.GOE-2.048.hursat-b1.v06.h5
EP151978,60,TS,hursat_hurdat/1978263N16267.OLIVIA.1978.09.21.1800.28.GOE-2.052.hursat-b1.v06.h5
EP151978,65,H1,hursat_hurdat/1978263N16267.OLIVIA.1978.09.22.1200.29.GOE-2.057.hursat-b1.v06.h5
EP151978,50,TS,hursat_hurdat/1978263N16267.OLIVIA.1978.09.22.1800.29.GOE-2.047.hursat-b1.v06.h5
EP161978,30,TD,hursat_hurdat/1978266N14260.PAUL.1978.09.23.1200.36.GOE-2.026.hursat-b1.v06.h5
EP161978,30,TD,hursat_hurdat/1978266N14260.PAUL.1978.09.23.1800.37.GOE-2.026.hursat-b1.v06.h5
EP161978,30,TD,hursat_hurdat/1978266N14260.PAUL.1978.09.24.1200.41.GOE-2.026.hursat-b1.v06.h5
